id_venda,id_produto,data_venda,qtd,valor_venda_reais,custo_usd,taxa_cambio,custo_reais,lucro_prejuizo,prejuizo
0,105,2023-09-10,11,3405.0,62.64,5.0,313.2,3091.8,0.0
1,136,2024-09-15,9,16873.9,390.62,5.0,1953.1,14920.800000000001,0.0
2,139,2024-08-13,7,9475.3,246.89,5.0,1234.4499999999998,8240.849999999999,0.0
4,23,2023-02-03,5,55893.0,2108.74,5.0,10543.699999999999,45349.3,0.0
5,57,2024-02-12,4,451403.9,22497.79,5.0,112488.95000000001,338914.95,0.0
6,52,2023-09-26,3,39056.4,2634.69,5.0,13173.45,25882.95,0.0
8,25,2024-02-28,3,34560.05,2478.48,5.0,12392.4,22167.65,0.0
9,26,2023-11-07,7,114932.9,3412.88,5.0,17064.4,97868.5,0.0
10,143,2024-08-25,3,12643.55,896.83,5.0,4484.150000000001,8159.399999999999,0.0
11,128,2023-05-07,5,23254.0,853.09,5.0,4265.45,18988.55,0.0
12,48,2024-07-29,13,191573.0,2940.57,5.0,14702.85,176870.15,0.0
13,19,2024-04-28,2,31221.75,3358.13,5.0,16790.65,14431.099999999999,0.0
14,125,2024-05-06,15,48479.45,646.27,5.0,3231.35,45248.1,0.0
15,14,2023-10-14,3,102061.35,6767.66,5.0,33838.3,68223.05,0.0
16,45,2024-10-07,2,18816.65,1881.33,5.0,9406.65,9410.000000000002,0.0
17,91,2023-09-05,11,1409558.7,26303.31,5.0,131516.55000000002,1278042.15,0.0
18,27,2024-11-28,3,47057.3,3051.23,5.0,15256.15,31801.15,0.0
19,100,2023-07-16,2,198740.0,19807.28,5.0,99036.4,99703.6,0.0
20,56,2024-11-27,12,490071.75,8087.59,5.0,40437.95,449633.8,0.0
21,71,2024-12-04,3,390522.0,23100.17,5.0,115500.84999999999,275021.15,0.0
22,20,2024-11-04,2,61667.0,5689.04,5.0,28445.2,33221.8,0.0
23,132,2023-02-04,15,23445.0,276.61,5.0,1383.0500000000002,22061.95,0.0
24,128,2023-05-09,12,55809.0,853.09,5.0,4265.45,51543.55,0.0
25,3,2024-02-04,2,18048.0,1753.77,5.0,8768.85,9279.15,0.0
26,147,2024-05-10,14,40299.95,592.19,5.0,2960.9500000000003,37339.0,0.0
27,97,2023-04-15,4,541340.0,25607.88,5.0,128039.40000000001,413300.6,0.0
28,60,2023-03-20,12,1239762.35,19341.09,5.0,96705.45,1143056.9000000001,0.0
29,109,2024-03-24,7,4359.0,169.23,5.0,846.15,3512.85,0.0
30,35,2023-07-18,15,165083.0,2106.85,5.0,10534.25,154548.75,0.0
31,91,2023-03-20,13,1665842.1,26303.31,5.0,131516.55000000002,1534325.55,0.0
32,40,2023-11-02,11,156024.0,2970.73,5.0,14853.65,141170.35,0.0
33,92,2023-07-26,8,710833.0,16745.97,5.0,83729.85,627103.15,0.0
34,73,2023-11-05,3,429480.0,27541.35,5.0,137706.75,291773.25,0.0
35,35,2024-04-02,10,110055.0,2106.85,5.0,10534.25,99520.75,0.0
36,136,2023-11-24,7,13123.3,390.62,5.0,1953.1,11170.199999999999,0.0
37,32,2023-08-29,13,162532.0,2560.62,5.0,12803.099999999999,149728.9,0.0
38,87,2024-04-30,9,601739.0,13597.7,5.0,67988.5,533750.5,0.0
39,71,2024-10-16,8,989322.4,23100.17,5.0,115500.84999999999,873821.55,0.0
40,116,2023-09-09,5,12878.0,502.24,5.0,2511.2,10366.8,0.0
41,34,2024-06-04,3,14753.0,951.66,5.0,4758.3,9994.7,0.0
42,6,2023-08-12,12,141843.0,2104.66,5.0,10523.3,131319.7,0.0
43,70,2023-08-10,14,480976.0,6655.06,5.0,33275.3,447700.7,0.0
44,81,2024-12-03,8,928328.6,23685.5,5.0,118427.5,809901.1,0.0
45,149,2024-09-12,11,12160.0,225.94,5.0,1129.7,11030.3,0.0
46,120,2023-12-15,5,15622.0,635.45,5.0,3177.25,12444.75,0.0
47,60,2024-02-04,15,1631266.0,22370.78,5.0,111853.9,1519412.1,0.0
48,54,2024-05-30,15,1823022.0,23191.9,5.0,115959.5,1707062.5,0.0
49,74,2024-08-29,7,575614.5,17160.36,5.0,85801.8,489812.7,0.0
50,19,2023-12-26,15,246485.0,3358.13,5.0,16790.65,229694.35,0.0
51,52,2024-08-28,4,54816.0,2426.66,5.0,12133.3,42682.7,0.0
52,106,2024-03-16,13,57003.0,918.37,5.0,4591.85,52411.15,0.0
53,25,2024-03-10,12,145518.0,2478.48,5.0,12392.4,133125.6,0.0
54,144,2024-09-30,4,8857.0,402.54,5.0,2012.7,6844.3,0.0
55,54,2024-11-24,3,346373.8,23191.9,5.0,115959.5,230414.3,0.0
56,125,2024-03-11,13,44227.0,646.27,5.0,3231.35,40995.65,0.0
57,110,2023-07-17,11,27451.0,476.03,5.0,2380.1499999999996,25070.85,0.0
58,45,2024-08-22,2,19807.0,1881.33,5.0,9406.65,10400.35,0.0
60,49,2024-03-20,14,176415.0,2627.0,5.0,13135.0,163280.0,0.0
61,56,2024-09-05,8,326714.5,8087.59,5.0,40437.95,286276.55,0.0
62,113,2024-05-18,15,62627.8,815.5,5.0,4077.5,58550.3,0.0
63,42,2024-01-27,15,85398.35,1263.57,5.0,6317.849999999999,79080.5,0.0
64,106,2023-10-17,13,57003.0,918.37,5.0,4591.85,52411.15,0.0
65,4,2024-10-14,7,22489.35,679.13,5.0,3395.65,19093.699999999997,0.0
66,114,2024-10-12,9,7194.0,152.46,5.0,762.3000000000001,6431.7,0.0
67,85,2024-02-04,3,109949.2,7885.27,5.0,39426.350000000006,70522.84999999999,0.0
68,139,2024-01-16,9,12824.0,246.89,5.0,1234.4499999999998,11589.55,0.0
69,139,2023-09-18,8,11399.0,246.89,5.0,1234.4499999999998,10164.55,0.0
70,98,2023-08-13,13,980110.25,15262.93,5.0,76314.65,903795.6,0.0
71,70,2023-09-09,5,163188.15,6655.06,5.0,33275.3,129912.84999999999,0.0
72,48,2024-08-10,2,29473.0,2940.57,5.0,14702.85,14770.15,0.0
73,10,2024-12-20,3,91294.05,5864.71,5.0,29323.55,61970.5,0.0
74,54,2024-09-25,11,1270038.85,23191.9,5.0,115959.5,1154079.35,0.0
75,91,2024-09-21,10,1348860.0,27671.77,5.0,138358.85,1210501.15,0.0
76,18,2024-03-07,14,353413.3,5536.62,5.0,27683.1,325730.2,0.0
77,110,2024-12-13,2,4741.45,443.85,5.0,2219.25,2522.2,0.0
78,105,2024-08-13,7,2167.0,57.36,5.0,286.8,1880.2,0.0
79,12,2024-12-31,13,35440.0,481.53,5.0,2407.6499999999996,33032.35,0.0
80,13,2024-03-06,6,46483.0,1356.5,5.0,6782.5,39700.5,0.0
81,82,2024-04-11,10,490523.0,9770.29,5.0,48851.450000000004,441671.55,0.0
82,32,2024-07-11,9,106895.9,2430.64,5.0,12153.199999999999,94742.7,0.0
83,123,2023-04-03,5,13190.75,535.37,5.0,2676.85,10513.9,0.0
84,35,2023-05-01,1,10455.7,2106.85,5.0,10534.25,-78.54999999999927,78.54999999999927
85,80,2024-09-05,7,904567.0,24177.04,5.0,120885.20000000001,783681.8,0.0
86,145,2023-06-02,8,34799.0,820.56,5.0,4102.799999999999,30696.2,0.0
87,20,2023-11-24,14,431668.0,5689.04,5.0,28445.2,403222.8,0.0
88,147,2024-03-11,5,15150.0,592.19,5.0,2960.9500000000003,12189.05,0.0
89,75,2023-12-21,8,262147.0,6193.58,5.0,30967.9,231179.1,0.0
90,72,2024-07-22,3,284044.3,30675.48,5.0,153377.4,130666.9,0.0
91,36,2023-01-06,15,339021.0,4221.25,5.0,21106.25,317914.75,0.0
92,2,2023-04-19,7,93087.65,2577.22,5.0,12886.099999999999,80201.54999999999,0.0
93,113,2023-01-11,11,45927.75,815.5,5.0,4077.5,41850.25,0.0
